日期,公司,收盘,开盘,高,低,交易量,涨跌幅
2022年8月30日,美团,185,189.4,189.4,179.7,26.87M,-0.91%
2022年8月29日,美团,186.7,188,191,184,49.83M,2.64%
2022年8月26日,美团,181.9,180.3,183.8,177.7,28.59M,2.59%
2022年8月25日,美团,177.3,164.9,179.5,164.9,27.92M,8.04%
2022年8月30日,腾讯,323.6,321,323.8,314,14.04M,0.19%
2022年8月29日,腾讯,323,319,324.8,316.8,12.39M,-0.37%
2022年8月26日,腾讯,324.2,322,330.4,321.4,18.58M,-0.25%
2022年8月25日,腾讯,325,313.4,325.8,313.4,19.44M,4.84%
2022年8月30日,百度,137.36,148.2,148.43,134.73,5.62M,-6.76%
2022年8月29日,百度,147.32,148.27,151.67,147.25,2.30M,-0.26%
2022年8月26日,百度,147.71,154.27,155.48,147.47,3.32M,-2.19%
2022年8月25日,百度,151.02,144.75,151.34,143.15,4.09M,8.73%
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
